Anti-ID,1xA,1xB,40x,Total
Anti-ID 1,8.5556,4.5138,7.139,20.2084
Anti-ID 2,6.3334,3.9694,3.0416,13.3444
Anti-ID 3,8.2779,5.4887999999999995,3.8332,17.5999
Anti-ID 4,9.7223,6.2556,7.0556,23.033500000000004
Anti-ID 5,8.4444,9.3196,6.9029,24.6669
Anti-ID 6,8.0001,7.113899999999999,8.5417,23.6557
Anti-ID 7,5.4999,7.6279,7.7918,20.919600000000003
Anti-ID 8,5.0555,6.4001,10.139,21.5946
Anti-ID 9,7.6111,5.830500000000001,9.6667,23.1083
Anti-ID 10,4.1111,3.25,3.3749,10.736
Anti-ID 11,4.9056,5.9361,3.0643,13.905999999999999
Anti-ID 12,7.311,8.6731,9.2492,25.2333
Anti-ID 13,7.683400000000001,7.5239,7.4853,22.6926
Anti-ID 14,6.299799999999999,8.3977,6.258699999999999,20.9562
Anti-ID 15,6.8222000000000005,8.0684,10.0005,24.8911
Anti-ID 16,6.161099999999999,8.1138,9.083300000000001,23.3582
Anti-ID 17,6.9,5.8669,8.0635,20.830399999999997
Anti-ID 18,8.5224,7.0989,8.0638,23.6851
