Analytical Metric & Condition,4 Components,5 Components,6 Components,7 Components,8 Components,9 Components,10 Components
Soluble Antigen Interference with Anti-ID [100x],-71.85818928167642,-92.35509044389138,-102.39925755111264,-96.51431455745401,-102.84256593772707,-100.43291434732404,-114.46426495518043
Soluble Antigen Interference with Anti-ID [10x],-62.00109894705952,-67.58426603202281,-61.946667281708514,-65.6400341492079,-83.77295265417402,-82.34524675227541,-85.21017541189372
Soluble Antigen Interference with Anti-ID [1x],-94.86754954746078,-103.14930293611593,-101.89492405186928,-92.90484535725778,-85.66215176082537,-89.64409161605036,-94.53809344450985
Matrix Interference with Anti-ID [100x],-111.11770575211409,-118.30731108753179,-108.96387988498458,-102.4463979097238,-115.56289083026644,-106.76899276639716,-119.71835585750833
Matrix Interference with Anti-ID [10x],-116.81485188042345,-126.83387232263624,-133.22175775679602,-138.02063004491083,-129.17967758024287,-134.13444366341218,-137.33830229270234
Matrix Interference with Anti-ID [1x],-76.65468103495802,-76.34547191885966,-96.46206075768816,-94.22967995224482,-81.70559695489263,-88.92688552005654,-82.02250581478589
Combination Interference with Anti-ID [100x],-73.28930963955243,-94.601700848636,-85.62925809305494,-81.85151572132548,-80.28324335267263,-70.45920428421425,-97.21131905389095
Combination Interference with Anti-ID [10x],-64.24027120597586,-84.64551758719332,-54.73104379088667,-79.4542425044877,-71.42805376568737,-69.48942970828261,-74.35083982311741
Combination Interference with Anti-ID [1x],-69.57823232819658,-59.82196938817383,-64.96266521711553,-42.72408998194284,-75.63655668790221,-69.40444883392894,-73.80658918984702
Soluble Antigen in Matrix Interference with Anti-ID [100x],-85.53485220451482,-93.22916247697984,-91.50876327328658,-93.74507208155231,-92.43659692406641,-95.99371310602083,-113.43305235092404
Soluble Antigen in Matrix Interference with Anti-ID [10x],-73.30408224012797,-68.24005765566233,-80.06800170947955,-72.10521717726832,-77.49795879907569,-92.791500733856,-72.5493039107522
Soluble Antigen in Matrix Interference with Anti-ID [1x],-97.75492677594974,-94.2327889018951,-98.42026551567096,-77.19179225273808,-71.59285557328903,-84.96629166737083,-87.36621621640057
