Anti-ID & Concentration,Soluble Antigen Interference,Matrix Interference,Combination Interference,Soluble Antigen in Matrix Interference,Total
Anti-ID 1 [100x],0,2,2,5,9
Anti-ID 2 [100x],2,2,2,5,11
Anti-ID 3 [100x],3,3,3,4,13
Anti-ID 4 [100x],1,4,1,0,6
Anti-ID 5 [100x],5,4,9,7,25
Anti-ID 6 [100x],3,4,4,5,16
Anti-ID 7 [100x],3,3,5,6,17
Anti-ID 8 [100x],2,5,5,4,16
Anti-ID 9 [100x],2,6,6,3,17
Anti-ID 10 [100x],0,1,1,6,8
Anti-ID 11 [100x],1,0,0,5,6
Anti-ID 12 [100x],4,9,8,5,26
Anti-ID 13 [100x],0,3,5,6,14
Anti-ID 14 [100x],3,5,7,7,22
Anti-ID 15 [100x],3,8,5,1,17
Anti-ID 16 [100x],3,4,7,8,22
Anti-ID 17 [100x],0,4,4,5,13
Anti-ID 18 [100x],1,7,6,2,16
Anti-ID 1 [10x],1,5,2,5,13
Anti-ID 2 [10x],2,2,1,8,13
Anti-ID 3 [10x],2,5,2,4,13
Anti-ID 4 [10x],2,5,2,7,16
Anti-ID 5 [10x],2,6,4,9,21
Anti-ID 6 [10x],2,6,3,5,16
Anti-ID 7 [10x],2,3,3,8,16
Anti-ID 8 [10x],1,6,3,6,16
Anti-ID 9 [10x],1,5,2,4,12
Anti-ID 10 [10x],1,0,0,2,3
Anti-ID 11 [10x],3,1,3,1,8
Anti-ID 12 [10x],2,9,5,6,22
Anti-ID 13 [10x],2,6,4,9,21
Anti-ID 14 [10x],2,4,3,9,18
Anti-ID 15 [10x],3,7,4,5,19
Anti-ID 16 [10x],3,2,6,0,11
Anti-ID 17 [10x],1,8,3,3,15
Anti-ID 18 [10x],0,6,3,5,14
Anti-ID 1 [1x],6,6,8,7,27
Anti-ID 2 [1x],4,3,8,3,18
Anti-ID 3 [1x],5,5,7,6,23
Anti-ID 4 [1x],5,6,8,5,24
Anti-ID 5 [1x],7,4,6,6,23
Anti-ID 6 [1x],8,5,4,7,24
Anti-ID 7 [1x],8,2,3,5,18
Anti-ID 8 [1x],7,6,9,6,28
Anti-ID 9 [1x],8,6,5,7,26
Anti-ID 10 [1x],3,1,3,2,9
Anti-ID 11 [1x],1,0,1,1,3
Anti-ID 12 [1x],8,8,8,7,31
Anti-ID 13 [1x],2,6,2,3,13
Anti-ID 14 [1x],5,2,5,4,16
Anti-ID 15 [1x],6,7,8,7,28
Anti-ID 16 [1x],0,3,0,0,3
Anti-ID 17 [1x],7,8,4,7,26
Anti-ID 18 [1x],4,5,7,4,20
