Analytical Metric,4 Components,5 Components,6 Components,7 Components,8 Components,9 Components,10 Components
Background,-578.0976566115878,-570.8233499089454,-561.1407148494079,-553.0479176762141,-559.631007902883,-541.7351967936609,-542.5313048055493
ULT Sen. + Ant.,2382.5917791551715,2374.0448603483096,2349.5862894079805,2358.8047333488767,2366.527613123332,2373.5007486488457,2370.7476965833894
ULT Sen. - Ant.,2325.5173818702688,2399.2158440005087,2322.098445682353,2320.095401457892,2327.96317239593,2324.061259833742,2292.559116479706
LLT Sen. + Ant.,-1170.052471862454,-1206.1566462323908,-1198.3368677887502,-1188.854970304043,-1214.6329909884205,-1209.4968410257047,-1214.8210314521136
LLT Sen. - Ant.,-1200.066174184517,-1199.5237668258717,-1211.8167996371194,-1212.9432935362365,-1243.1605649904557,-1256.2168628474699,-1249.8443734697717
S/N + Ant.,-2375.3227285866815,-2379.1041961834985,-2375.492210692628,-2367.871095160369,-2362.360856525646,-2362.000610852036,-2351.780163766047
S/N - Ant.,-2414.4954775468514,-2413.726701909835,-2406.8998201474956,-2396.7714808751143,-2395.7057059169465,-2383.175298145481,-2376.2065835652816
Ant. Int. [100x],-736.1850732669755,-725.9547473046894,-721.485842788486,-713.238559008603,-725.8424655369179,-721.0268131215108,-719.00625525973
Ant. Int. [10x],-818.7063606085958,-810.9270590090507,-806.7069686440293,-811.0719716710963,-806.5093969753458,-809.412575342453,-799.7146489046362
Ant. Int. [1x],-857.6538933180552,-847.5925127375787,-838.7847671391357,-866.7922137462369,-862.2189981711089,-853.9719653751022,-843.3066759757837
